Category of States;States;Scheduled Tribes - Males;Scheduled Tribes - Females;Scheduled Tribes - Persons;Scheduled Castes - Males;Scheduled Castes - Females;Scheduled Castes - Persons;Other Backward Classes - Males;Other Backward Classes - Females;Other Backward Classes - Persons;Others - Males;Others - Females;Others - Persons;All Social Groups - Males;All Social Groups - Females;All Social Groups - Persons;Code
Non Special CategoryStates;Andhra Pradesh;23;18.8;21;15.2;18.9;17;14.3;19.1;16.7;11;17.3;14.2;14.5;18.6;16.5;AP
Non Special CategoryStates;Assam;8.7;13.3;10.6;3.2;13.5;8.3;14.3;20.2;16.9;16.1;21.3;18.3;13.6;19.3;16.1;AS
Non Special CategoryStates;Bihar;22.3;38.2;30;31.3;40.4;35.2;21.9;31.1;25.9;15.1;22.7;18.4;22.6;31.5;26.4;BR
Non Special CategoryStates;Chhattisgarh;13.4;24.4;18.6;12.2;15.6;13.8;15.2;19.1;17;7.3;4.7;6;13.6;19.8;16.5;CT
Non Special CategoryStates;Delhi;-9999;-9999;-9999;13.7;12.8;13.3;19.2;11;16.1;8.8;13.5;10.7;11.8;12.9;12.3;DL
Non Special CategoryStates;Goa;-9999;-9999;-9999;24.7;25.1;24.9;3.9;44.2;23.9;16.2;9.2;12.9;14.7;15.5;15.1;GA
Non Special CategoryStates;Gujarat;22.5;29.2;25.7;15.3;22.4;18.4;19.3;30.3;24.6;10.1;18.6;13.7;17;26.5;21.3;GJ
Non Special CategoryStates;Haryana;-9999;-9999;-9999;20.7;28;24;14.5;25.4;19.5;7.1;13.5;9.7;12.8;21.3;16.5;HR
Non Special CategoryStates;Jharkhand;26.4;25.6;26;25.3;31.8;28.1;14.2;16.5;15.3;17.3;18.6;17.9;19.8;21.9;20.8;JH
Non Special CategoryStates;Karnataka;21.7;26.3;23.9;14.3;21.8;17.9;13.1;16.2;14.6;11.2;11.8;11.5;13.4;16.7;15;KA
Non Special CategoryStates;Kerala;-9999;-9999;-9999;5;5.7;5.3;3.9;3.2;3.6;1.5;1.2;1.4;3.4;2.9;3.1;KL
Non Special CategoryStates;Madhya Pradesh;25.1;28.3;26.6;21.5;25.7;23.4;14.2;18.7;16.3;11.3;12.8;12;17.5;21.1;19.2;MP
Non Special CategoryStates;Maharashtra;29.8;40.7;34.5;17.2;18.1;17.6;13.1;16.3;14.6;11;14.1;12.5;14.3;17.6;15.9;MH
Non Special CategoryStates;Orissa;28.7;41.5;-9999;22.7;29.8;26.3;19.5;23.6;21.5;15.4;22.6;19;21.7;28.9;25.2;OR
Non Special CategoryStates;Punjab;-9999;-9999;-9999;28;30.4;29.1;15.2;25;19.8;11.3;8.4;10;18.6;20;19.2;PB
Non Special CategoryStates;Rajasthan;23.2;40.6;30.9;19.1;33.5;25.2;11.2;26.9;18.5;9.5;17.4;13;14.1;28.2;20.4;RJ
Non Special CategoryStates;Tamil Nadu;44;23.4;32.3;14.4;11.6;13.1;8.7;9.1;8.9;2.8;3.7;3.2;10.1;9.6;9.9;TN
Non Special CategoryStates;Uttar Pradesh;22.4;18.6;20.8;23.5;24.9;24.2;20.1;24.3;22;12.3;19.7;-9999;19.6;23.5;21.4;UP
Non Special CategoryStates;West Bengal;16;27.5;21.6;19.5;20.6;20;15.9;21.3;18.3;22.3;18.9;20.6;20.7;20;20.4;WB
Special Category States;Arunachal Pradesh;12.9;14.9;13.9;11;4.5;6.7;9.6;8.6;9.1;13.2;26.9;20;12.9;17.1;15;AR
Special Category States;Himachal Pradesh;6;9.4;7.6;7.2;8.8;7.9;1.2;1.7;1.4;3.1;5;4;4.2;5.9;5;HP
Special Category States;Jammu & Kashmir;-9999;-9999;-9999;6.4;18;12.4;9.9;12.7;11.1;6.5;10.3;8.4;7.7;14.6;11;JK
Special Category States;Manipur;7.9;12.3;9.8;6.8;7.1;6.9;6.2;10.5;8.1;5.5;14.4;10.1;6.8;11.6;8.9;MN
Special Category States;Meghalaya;10.5;9.3;9.9;-9999;-9999;-9999;-9999;-9999;-9999;2.8;7.5;4.9;9.6;9.1;9.3;ML
Special Category States;Mizoram;7.4;7.3;7.3;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;7.4;7.4;7.4;MZ
Special Category States;Nagaland;5;8.6;6.7;-9999;-9999;-9999;9.4;36;26.3;55.6;55.7;55.6;5.6;9.5;7.4;NL
Special Category States;Sikkim;9.6;12.6;11;7.6;19.5;12.5;5.5;6;5.8;8.3;13.3;10.6;7.5;10.1;8.7;SK
Special Category States;Tripura;17.7;22.6;19.8;17.8;17;17.4;16.1;11.8;14;14.2;13.6;13.9;16.5;16.5;16.5;TR
Special Category States;Uttarakhand;-9999;-9999;-9999;12.4;19;15.8;28.1;28.9;28.5;5.6;6.2;5.9;12.8;14.9;13.8;UT
Union Territories;Andaman & Nicobar Islands;6.3;22.4;12.1;-9999;-9999;-9999;5;7.3;6.2;5.3;5.5;5.4;5.3;6.8;6.1;AN
Union Territories;Chandigarh;-9999;-9999;-9999;26.3;21.9;24.6;11.1;49.9;28;7.2;8.2;7.5;12.3;20.4;15.5;CH
Union Territories;Dadra & -9999gar Haveli;10.1;31.6;19.2;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;7.6;28.2;15.6;DN
Union Territories;Daman & Diu;-9999;-9999;-9999;-9999;-9999;-9999;14.5;19.6;16.7;-9999;-9999;-9999;6.1;10.3;7.7;DD
Union Territories;Lakshadweep;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;LD
Union Territories;Puducherry;-9999;-9999;-9999;4.7;11.2;7.7;8.1;8.4;8.2;-9999;-9999;-9999;7;8.6;7.7;PY
