Category of States;States;Hindus - Males;Hindus - Females;Hindus - Persons;Muslims - Males;Muslims - Females;Muslims - Persons;Christians - Males;Christians - Females;Christians - Persons;Sikhs - Males;Sikhs - Females;Sikhs - Persons;Code
Non Special Category States;Andhra Pradesh;14.6;18;16.3;15.2;26.7;21.2;18.1;13.7;15.8;-9999;-9999;-9999;AP
Non Special Category States;Assam;12;17;14.2;17;21.6;18.9;0.3;39.4;22.7;-9999;-9999;-9999;AS
Non Special Category States;Bihar;20;29.2;23.9;36.5;44;39.8;21.6;11.3;16.2;-9999;-9999;-9999;BR
Non Special Category States;Chhattisgarh;13.6;19.9;16.6;25.7;8.4;16.7;13.2;18.6;15.5;-9999;-9999;-9999;CT
Non Special Category States;Delhi;10.7;10.4;10.6;23;28.9;25.6;-9999;-9999;-9999;-9999;-9999;-9999;DL
Non Special Category States;Goa;15.2;15.3;15.3;20.9;37.2;26.9;-9999;-9999;-9999;-9999;-9999;-9999;GA
Non Special Category States;Gujarat;16;25;20.1;28.1;44;35.7;18.1;7.9;12.6;-9999;-9999;-9999;GJ
Non Special Category States;Haryana;11.4;18.4;14.4;26.8;46.4;36;-9999;-9999;-9999;10.7;20.5;15.1;HR
Non Special Category States;Jharkhand;18.8;20.9;19.7;23.4;28.6;25.9;23.7;24.7;24.1;-9999;-9999;-9999;JH
Non Special Category States;Karnataka;13.1;16.5;14.8;17.5;19.2;18.4;-9999;-9999;-9999;-9999;-9999;-9999;KA
Non Special Category States;Kerala;4.2;2.8;3.5;3.5;3.3;3.4;2.4;2.4;2.4;-9999;-9999;-9999;KL
Non Special Category States;Madhya Pradesh;17.1;21.1;18.9;22.9;22;22.4;-9999;-9999;-9999;-9999;-9999;-9999;MP
Non Special Category States;Maharashtra;13.5;15.8;14.6;20.6;29.4;24.9;21.9;22.6;22.3;-9999;-9999;-9999;MH
Non Special Category States;Orissa;21.4;28.5;-9999;32;43;37.9;17.7;18.9;18.3;-9999;-9999;-9999;OR
Non Special Category States;Punjab;21.9;17.5;20;15.2;35.5;24.9;19.6;16.2;17.8;16.6;21.3;18.7;PB
Non Special Category States;Rajasthan;12.9;27.4;19.4;27;37.3;31.7;46.4;100;65.1;24.6;42.6;30.3;RJ
Non Special Category States;Tamil Nadu;10.3;9.8;10.1;11.1;10.3;10.7;5;6.6;5.9;-9999;-9999;-9999;TN
Non Special Category States;Uttar Pradesh;16.2;18.6;17.3;33.6;41;37.2;-9999;-9999;-9999;6.5;23.5;14;UP
Non Special Category States;West Bengal;16.2;17.4;16.7;29.2;24.4;26.9;6;20.5;14.2;-9999;-9999;-9999;WB
Special Category States;Arunachal Pradesh;5.8;11.4;8.5;4.6;3;4;16.2;19.2;17.6;-9999;-9999;-9999;AR
Special Category States;Himachal Pradesh;4.3;5.4;4.8;9.2;25.2;17.4;-9999;-9999;-9999;-9999;-9999;-9999;HP
Special Category States;Jammu & Kashmir;6.1;9.7;7.9;9.1;18.5;13.6;-9999;-9999;-9999;-9999;-9999;-9999;JK
Special Category States;Manipur;4.6;8.8;6.6;14.3;29.5;20.3;7.8;12.2;9.8;-9999;-9999;-9999;MN
Special Category States;Meghalaya;9.6;5.3;7.2;1.4;9.7;4.8;9.7;9;9.4;-9999;-9999;-9999;ML
Special Category States;Mizoram;-9999;-9999;-9999;-9999;-9999;-9999;5.5;5.8;5.6;-9999;-9999;-9999;MZ
Special Category States;Nagaland;29.5;46.3;37.9;47.1;45.5;46.1;4.9;8.3;6.5;-9999;-9999;-9999;NL
Special Category States;Sikkim;6.3;8.5;7.3;-9999;-9999;-9999;15.1;10.8;12.7;-9999;-9999;-9999;SK
Special Category States;Tripura;15.8;15.3;15.6;22.4;19.6;21;13.8;49.8;26.8;-9999;-9999;-9999;TR
Special Category States;Uttarakhand;7.9;10.6;9.2;31.3;29.9;30.6;-9999;-9999;-9999;-9999;-9999;-9999;UT
Union Territories;Andaman & Nicobar Islands;4.9;4.5;4.7;7.7;4.9;6.4;5.5;18.2;10.5;-9999;-9999;-9999;AN
Union Territories;Chandigarh;11.4;22.8;15.8;35.4;48.4;40.2;-9999;-9999;-9999;11.8;2.1;7.6;CH
Union Territories;Dadra & Nagar Haveli;7.9;29;16.1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;DN
Union Territories;Daman & Diu;9.6;12.6;10.8;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;DD
Union Territories;Lakshadweep;-9999;-9999;-9999;5.4;7.1;6.2;-9999;-9999;-9999;-9999;-9999;-9999;LD
Union Territories;Puducherry;7.4;10;8.5;6.1;10;7.7;-9999;-9999;-9999;-9999;-9999;-9999;PY
